311,01,4,BIM,BIMA HOSPIT,,0,28,,,16
311,01,4,PIP,PIPLANI PET,,0,29,,,16
311,01,4,KAL,KALPANA NAG,,0,30,,,18
311,01,4,RAT,RATNAGIRI,,0,31,,,18
311,01,4,ANA,ANAND NAGAR,,0,32,,,18
311,01,4,SID,SIDDARDH LA,,0,33,,,18
311,01,4,ORI,ORIENTAL CO,,0,34,,,20
311,01,4,NRI,NRI COLLEGE,,0,35,,,20
311,01,4,BYP,BYPASS,,0,36,,,22
311,01,4,LNC,LNCT,,0,37,,,22
311,01,5,DIG,DIG CHOURAH,,0,5,,,0
311,01,5,KAJ,KAJI CAMP,,0,6,,,5
311,01,5,SIN,SINDHI COLO,,0,7,,,5
311,01,5,BHO,BHOPAL TALK,,0,8,,,5
311,01,5,NAD,NADARA BUS ,,0,9,,,5
311,01,5,BHO,BHOPAL STAT,,0,10,,,7
311,01,5,BHA,BHARAT TALK,,0,11,,,7
311,01,5,BHO,BHOPAL STAT,,0,12,,,7
311,01,5,KAM,KAMPU KA BA,,0,13,,,9
311,01,5,PUS,PUSHPA NAGA,,0,14,,,9
311,01,5,GRE,GREEN PARK,,0,15,,,9
311,01,5,ASH,ASHOKA GARD,,0,16,,,9
311,01,5,ASH,ASHOKA GARD,,0,17,,,12
311,01,5,SWA,SWAMI VIVEK,,0,18,,,12
311,01,5,PRA,PRABHAT PET,,0,19,,,12
311,01,5,APS,APSARA TALK,,0,20,,,12
311,01,5,BIJ,BIJLI COLON,,0,21,,,14
311,01,5,GOV,GOVINDPURA,,0,22,,,14
311,01,5,ITI,ITI,,0,23,,,14
311,01,5,CPR,CPRI COLONY,,0,24,,,14
311,01,5,JK ,JK ROAD,,0,25,,,16
311,01,5,BHE,BHEL GATE,,0,26,,,16
311,01,5,JUB,JUBILY GATE,,0,27,,,16
311,01,5,BIM,BIMA HOSPIT,,0,28,,,16
311,01,5,PIP,PIPLANI PET,,0,29,,,16
311,01,5,KAL,KALPANA NAG,,0,30,,,18
311,01,5,RAT,RATNAGIRI,,0,31,,,18
311,01,5,ANA,ANAND NAGAR,,0,32,,,18
311,01,5,SID,SIDDARDH LA,,0,33,,,18
311,01,5,ORI,ORIENTAL CO,,0,34,,,20
311,01,5,NRI,NRI COLLEGE,,0,35,,,20
311,01,5,BYP,BYPASS,,0,36,,,22
311,01,5,LNC,LNCT,,0,37,,,22
311,01,6,KAJ,KAJI CAMP,,0,6,,,0
311,01,6,SIN,SINDHI COLO,,0,7,,,5
311,01,6,BHO,BHOPAL TALK,,0,8,,,5
311,01,6,NAD,NADARA BUS ,,0,9,,,5
311,01,6,BHO,BHOPAL STAT,,0,10,,,5
311,01,6,BHA,BHARAT TALK,,0,11,,,7
311,01,6,BHO,BHOPAL STAT,,0,12,,,7
311,01,6,KAM,KAMPU KA BA,,0,13,,,7
311,01,6,PUS,PUSHPA NAGA,,0,14,,,7
311,01,6,GRE,GREEN PARK,,0,15,,,9
311,01,6,ASH,ASHOKA GARD,,0,16,,,9
311,01,6,ASH,ASHOKA GARD,,0,17,,,9
311,01,6,SWA,SWAMI VIVEK,,0,18,,,9
311,01,6,PRA,PRABHAT PET,,0,19,,,12
311,01,6,APS,APSARA TALK,,0,20,,,12
311,01,6,BIJ,BIJLI COLON,,0,21,,,12
311,01,6,GOV,GOVINDPURA,,0,22,,,12
311,01,6,ITI,ITI,,0,23,,,14
311,01,6,CPR,CPRI COLONY,,0,24,,,14
311,01,6,JK ,JK ROAD,,0,25,,,14
311,01,6,BHE,BHEL GATE,,0,26,,,14
311,01,6,JUB,JUBILY GATE,,0,27,,,16
311,01,6,BIM,BIMA HOSPIT,,0,28,,,16
311,01,6,PIP,PIPLANI PET,,0,29,,,16
311,01,6,KAL,KALPANA NAG,,0,30,,,16
311,01,6,RAT,RATNAGIRI,,0,31,,,18
311,01,6,ANA,ANAND NAGAR,,0,32,,,18
311,01,6,SID,SIDDARDH LA,,0,33,,,18
311,01,6,ORI,ORIENTAL CO,,0,34,,,18
311,01,6,NRI,NRI COLLEGE,,0,35,,,20
311,01,6,BYP,BYPASS,,0,36,,,20
311,01,6,LNC,LNCT,,0,37,,,22
311,01,7,SIN,SINDHI COLO,,0,7,,,0
311,01,7,BHO,BHOPAL TALK,,0,8,,,5
311,01,7,NAD,NADARA BUS ,,0,9,,,5
311,01,7,BHO,BHOPAL STAT,,0,10,,,5
311,01,7,BHA,BHARAT TALK,,0,11,,,7
311,01,7,BHO,BHOPAL STAT,,0,12,,,7
311,01,7,KAM,KAMPU KA BA,,0,13,,,7
311,01,7,PUS,PUSHPA NAGA,,0,14,,,7
311,01,7,GRE,GREEN PARK,,0,15,,,7
311,01,7,ASH,ASHOKA GARD,,0,16,,,9
311,01,7,ASH,ASHOKA GARD,,0,17,,,9
311,01,7,SWA,SWAMI VIVEK,,0,18,,,9
311,01,7,PRA,PRABHAT PET,,0,19,,,9
311,01,7,APS,APSARA TALK,,0,20,,,12
311,01,7,BIJ,BIJLI COLON,,0,21,,,12
311,01,7,GOV,GOVINDPURA,,0,22,,,12
311,01,7,ITI,ITI,,0,23,,,14
311,01,7,CPR,CPRI COLONY,,0,24,,,14
311,01,7,JK ,JK ROAD,,0,25,,,14
311,01,7,BHE,BHEL GATE,,0,26,,,14
311,01,7,JUB,JUBILY GATE,,0,27,,,14
311,01,7,BIM,BIMA HOSPIT,,0,28,,,16
311,01,7,PIP,PIPLANI PET,,0,29,,,16
311,01,7,KAL,KALPANA NAG,,0,30,,,16
311,01,7,RAT,RATNAGIRI,,0,31,,,16
311,01,7,ANA,ANAND NAGAR,,0,32,,,18
311,01,7,SID,SIDDARDH LA,,0,33,,,18
311,01,7,ORI,ORIENTAL CO,,0,34,,,18
311,01,7,NRI,NRI COLLEGE,,0,35,,,18
311,01,7,BYP,BYPASS,,0,36,,,20
311,01,7,LNC,LNCT,,0,37,,,20
311,01,8,BHO,BHOPAL TALK,,0,8,,,0
311,01,8,NAD,NADARA BUS ,,0,9,,,5
311,01,8,BHO,BHOPAL STAT,,0,10,,,5
311,01,8,BHA,BHARAT TALK,,0,11,,,5
311,01,8,BHO,BHOPAL STAT,,0,12,,,7
311,01,8,KAM,KAMPU KA BA,,0,13,,,7
311,01,8,PUS,PUSHPA NAGA,,0,14,,,7
311,01,8,GRE,GREEN PARK,,0,15,,,7
311,01,8,ASH,ASHOKA GARD,,0,16,,,9
311,01,8,ASH,ASHOKA GARD,,0,17,,,9
311,01,8,SWA,SWAMI VIVEK,,0,18,,,9
311,01,8,PRA,PRABHAT PET,,0,19,,,9
311,01,8,APS,APSARA TALK,,0,20,,,9
311,01,8,BIJ,BIJLI COLON,,0,21,,,12
311,01,8,GOV,GOVINDPURA,,0,22,,,12
311,01,8,ITI,ITI,,0,23,,,12
311,01,8,CPR,CPRI COLONY,,0,24,,,12
311,01,8,JK ,JK ROAD,,0,25,,,14
311,01,8,BHE,BHEL GATE,,0,26,,,14
311,01,8,JUB,JUBILY GATE,,0,27,,,14
311,01,8,BIM,BIMA HOSPIT,,0,28,,,14
